,0
0,006204.TW
1,006207.TW
2,006208.TW
3,00641R.TW
4,00663L.TW
5,00665L.TW
6,00666R.TW
7,00668.TW
8,00669R.TW
9,00676R.TW
10,00677U.TW
11,00685L.TW
12,00692.TW
13,00700.TW
14,00701.TW
15,00711B.TW
16,00717.TW
17,00728.TW
18,00730.TW
19,00732.TW
20,00757.TW
21,00774B.TW
22,00774C.TW
23,00851.TW
24,00866.TW
25,01009T.TW
26,018E.MU
27,018F.BE
28,01DV.BE
29,025B.BE
30,02F0.BE
31,02F0.MU
32,02F3.BE
33,02F5.BE
34,02F9.BE
35,02FL.BE
36,02FV.BE
37,03AF.BE
38,03AH.BE
39,03AQ.BE
40,03AR.BE
41,03AS.BE
42,03EG.BE
43,03XG.BE
44,03XH.BE
45,069660.KS
46,08PN.BE
47,091180.KS
48,0BY3.BE
49,0BY8.BE
50,0DPS.BE
51,0DPS.F
52,0DPS.HM
53,0I71.DU
54,0I7A.BE
55,0I86.BE
56,0PMB.BE
57,0PMB.DU
58,0PMB.MU
59,0R4F.BE
60,0U20.BE
61,100GBA-GBP.SW
62,102960.KS
63,104530.KS
64,105190.KS
65,105780.KS
66,10AG.BE
67,10AM.BE
68,10AV.MU
69,114260.KS
70,114800.KS
71,11ZI.BE
72,11ZR.BE
73,122260.KS
74,12P.F
75,1306.T
76,1322.T
77,1325.T
78,1327.T
79,1330.T
80,1345.T
81,1346.T
82,1349.T
83,136340.KS
84,137930.KS
85,138230.KS
86,139660.KS
87,1397.T
88,1398.T
89,140950.KS
90,145670.KS
91,1458.T
92,1459.T
93,1475.T
94,1477.T
95,1485.T
96,1492.T
97,152380.KS
98,152870.KS
99,1551.T
100,1555.T
101,1560.T
102,1563.T
103,1573.T
104,1597.T
105,159800.KS
106,1617.T
107,1621.T
108,1625.T
109,1628.T
110,1660.T
111,1670.T
112,174350.KS
113,176710.KS
114,176950.KS
115,183710.KS
116,18M0.BE
117,18M0.DU
118,18MQ.MU
119,18MX.BE
120,18MX.DU
121,18MY.BE
122,18MY.DU
123,18MZ.BE
124,18MZ.DU
125,196230.KS
126,19H.F
127,1BM3.BE
128,1BM4.BE
129,1BM5.BE
130,1DIV.BK
131,1FU1.BE
132,1FUA.BE
133,1FUC.BE
134,1FUD.BE
135,1FUU.BE
136,1GZA.DU
137,1GZA.HM
138,1HSA.BE
139,1J7B.HM
140,1KN.F
141,1OBA.BE
142,1OBB.BE
143,1OBF.BE
144,1SCA.BE
145,1SVB.MU
146,1T6.F
147,1V2.F
148,1WIA.BE
149,200250.KS
150,2032.T
151,2034.T
152,2035.T
153,2040.T
154,2041.T
155,2042.T
156,2043.T
157,2050.T
158,211260.KS
159,215620.KS
160,217770.KS
161,225800.KS
162,226380.KS
163,229720.KS
164,230480.KS
165,233160.KS
166,233740.KS
167,237350.KS
168,245710.KS
169,248270.KS
170,250780.KS
171,2510.T
172,2511.T
173,2513.T
174,2514.T
175,2516.T
176,2519.T
177,2520.T
178,252720.KS
179,2530.T
180,253230.KS
181,2552.T
182,2557.T
183,2558.T
184,2559.T
185,2560.T
186,261220.KS
187,261270.KS
188,2624.T
189,2625.T
190,265690.KS
191,266550.KS
192,26IA.BE
193,276000.KS
194,279540.KS
195,291610.KS
196,291620.KS
197,291630.KS
198,292340.KS
199,292560.KS
200,292570.KS
201,292580.KS
202,292590.KS
203,292770.KS
204,294400.KS
205,296710.KS
206,298770.KS
207,2B70.DE
208,2B70.DU
209,2B70.F
210,2B70.MU
211,2B76.DU
212,2B76.MU
213,2B77.BE
214,2B77.DU
215,2B77.MU
216,2B7F.BE
217,2B7M.BE
218,2B7M.DU
219,2B7S.BE
220,2B7U.DU
221,2B7U.MU
222,2B7W.BE
223,2IM0.BE
224,2IM0.HM
225,2IMB.BE
226,2IMB.DU
227,2IMB.HM
228,2IMB.MU
229,2INVE.MC
230,2MOA.BE
231,2S5.BE
232,2S9.BE
233,2SY1.BE
234,2TV0.BE
235,2UJC.MU
236,2UJD.MU
237,2UJE.MU
238,2WP.F
239,2WP.MU
240,300610.KS
241,301410.KS
242,304770.KS
243,304780.KS
244,305080.KS
245,306520.KS
246,306530.KS
247,306540.KS
248,308620.KS
249,316670.KS
250,31QC.MU
251,329750.KS
252,331910.KS
253,333940.KS
254,33U.BE
255,33UC.BE
256,33UC.MU
257,33UD.BE
258,33UD.MU
259,33UI.MU
260,33UK.MU
261,33UL.BE
262,33UL.MU
263,33UM.MU
264,33UP.MU
265,33UR.MU
266,342610.KS
267,342620.KS
268,34O.BE
269,352540.KS
270,352560.KS
271,363510.KS
272,364690.KS
273,36B3.DU
274,36B5.DE
275,36B5.DU
276,36B5.MU
277,36B7.DU
278,36B7.MU
279,36BA.BE
280,36BA.DU
281,36BA.MU
282,36BB.BE
283,36BB.MU
284,36BC.BE
285,3BJ1.BE
286,3BJ1.DU
287,3BJ1.F
288,3BJ1.HM
289,3BJ1.MU
290,3BJ4.BE
291,3BJ4.DU
292,3BJ4.F
293,3BJ4.HM
294,3BJ4.MU
295,3GQA.BE
296,3HJ.BE
297,3HJ.F
298,3HJ.HM
299,3IS9.BE
300,3ISB.BE
301,3ISD.BE
302,3P51.BE
303,3P51.F
304,3P51.HM
305,3PDA.BE
306,3PDA.DU
307,3PDA.F
308,3PDA.MU
309,3PTA.HM
310,3SP1.BE
311,3SP1.DU
312,3SP1.HM
313,3SP1.MU
314,3SP2.F
315,3SP2.MU
316,3SP6.HM
317,3SPC.HA
318,3SPE.HM
319,3SPH.HM
320,3SPH.MU
321,3SUA.BE
322,3SUD.DU
323,3SUE.BE
324,3SUE.MU
325,3V9.BE
326,3V9.F
327,3V9.MU
328,43V.MU
329,45U.F
330,4GXU.BE
331,4GXW.BE
332,4JZK.BE
333,4N24.DU
334,4N24.MU
335,4N25.BE
336,4N25.DU
337,4N26.BE
338,4N26.DU
339,4N2F.BE
340,4N2F.DU
341,4N2F.MU
342,4N2G.BE
343,4N2G.MU
344,4N2H.DU
345,4N2H.F
346,4N2H.MU
347,4N32.HM
348,4N33.BE
349,4N33.DU
350,4N33.F
351,4UB1.DU
352,4UBI.DU
353,4UBK.BE
354,4UBK.DU
355,4UBR.BE
356,4UBR.DU
357,540G.DU
358,540S.BE
359,540S.DE
360,59S.BE
361,59S.F
362,59S.MU
363,5BTS.MI
364,5KSB.BE
365,5L41.BE
366,5L41.DU
367,5L41.F
368,5L41.MU
369,5L42.F
370,5L44.DU
371,5L44.F
372,5L44.MU
